title,url,date
Granblue Fantasy: Relink,https://store.steampowered.com/app/881020/Granblue_Fantasy_Relink/?snr=1_7_7_7000_150_2,2024년 2월 1일
토치라이트:인피니트,https://store.steampowered.com/app/1974050/_/?snr=1_7_7_7000_150_2,2023년 5월 10일
DARK SOULS™ II: Scholar of the First Sin,https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/?snr=1_7_7_7000_150_2,2015년 4월 2일
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_2,2018년 2월 9일
Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_7000_150_2,2013년 8월 13일
인슈라오디드 (Enshrouded),https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_7000_150_2,2024년 1월 24일
Tom Clancy's Ghost Recon® Wildlands,https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/?snr=1_7_7_7000_150_2,2017년 3월 7일
Deep Rock Galactic: Survivor,https://store.steampowered.com/app/2321470/Deep_Rock_Galactic_Survivor/?snr=1_7_7_7000_150_2,2024년 2월 14일
Coral Island,https://store.steampowered.com/app/1158160/Coral_Island/?snr=1_7_7_7000_150_2,2023년 11월 15일
Party Animals,https://store.steampowered.com/app/1260320/Party_Animals/?snr=1_7_7_7000_150_2,2023년 9월 20일
Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_7000_150_2,2019년 12월 6일
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_7000_150_2,2024년 2월 23일
Battlefield™ 2042,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_7000_150_2,2021년 11월 19일
NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_2,2021년 8월 12일
Dying Light 2 Stay Human: Reloaded Edition,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human_Reloaded_Edition/?snr=1_7_7_7000_150_2,2022년 2월 4일
Vampire Survivors,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_7000_150_2,2022년 10월 21일
