title,url,date,tag,K-E,description,company,publisher,platform
Palworld / 팰월드,https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_7000_150_1,2024년 01월 19일,"멀티플레이어,오픈 월드,생명체 수집,생존,3D","Palworld,Palworld / 팰월드","드넓은 세계에 서식하는 신비한 생물 ""팰""을 수집하여 전투, 건축, 농업에 투입하거나 공장에서 일을 시키는 등, 전에 없던 새로운 체험을 선사하는 멀티 지원 오픈월드 서바이벌 크래프트 게임입니다.",Pocketpair,Pocketpair,steam
Company of Heroes 3,https://store.steampowered.com/app/1677280/Company_of_Heroes_3/?snr=1_7_7_7000_150_1,2023년 02월 24일,"전략,전쟁 게임,실시간 전략,액션 RTS,PvP",Company of Heroes 3,"사상 최대의 야심작으로 돌아온 Company of Heroes 3에서는 눈부신 지중해 전구를 배경으로 한 가슴 뛰는 전투와 심도 있는 전략적 선택이 갖춰져 있습니다. Company of Heroes 3의 전투에는 모두 이야기가 깃들어 있습니다... 여러분의 이야기는 무엇입니까?""",Relic Entertainment,SEGA,steam
EA SPORTS FC™ 24,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_7000_150_1,2023년 09월 29일,"축구,스포츠,컨트롤러,멀티플레이어,PvP",EA SPORTS FC™ 24,"EA SPORTS FC™ 24가 The World’s Game에 여러분을 초대합니다. HyperMotionV, Opta에 의해 최적화된 플레이스타일, 향상된 Frostbite™ 엔진을 통해 사상 최고로 현실감 넘치는 축구 경험을 제공합니다.",EA Canada & EA Romania,Electronic Arts,steam
데스티니 가디언즈,https://store.steampowered.com/app/1085660/_/?snr=1_7_7_7000_150_1,2019년 10월 02일,"무료 플레이,오픈 월드,1인칭 슈팅,MMORPG","Destiny 2,데스티니 가디언즈",데스티니 가디언즈는 끝없이 진화하는 하나의 세계에서 플레이하는 액션 MMO입니다. 언제 어디서든 친구들과 함께 무료로 플레이하세요.,Bungie,Bungie,steam
GrandChase,https://store.steampowered.com/app/985810/GrandChase/?snr=1_7_7_7000_150_1,2021년 07월 28일,"액션,PvE,PvP,무료 플레이,액션 RPG",GrandChase,‘그랜드체이스’는 애니메이션풍의 비쥬얼을 가진 횡스크롤 온라인 액션 RPG 게임으로 기본 무료 입니다. 개성 있는 캐릭터들로 던전과 대전에서 시원한 액션을 즐겨 보세요.,KOG,KOG,steam
DARK SOULS III Deluxe Edition,https://store.steampowered.com/sub/94174/?snr=1_7_7_7000_150_1,2016년 04월 12일,"캐주얼,선정적인 내용,애니메이션,심리적 공포","RiichiCity - ACG mahjong games,麻雀一番街","Riichi City is a competitive urban-style Anime mahjong game, featuring beginner-friendly mahjong tutorials, Ranked Matches and tournaments crowded with masters! Spice up the experience with our ACG characters voiced by famous CVs, and attractive items and decorations! Set off for Riichi City now!","Formirai Co., Ltd.","Formirai Co., Ltd.",steam
麻雀一番街,https://store.steampowered.com/app/1954420/_/?snr=1_7_7_7000_150_1,2022년 09월 08일,"시뮬레이션,스포츠,전략,축구,경영,경제",Football Manager 2024,축구의 정점을 향하여 절대 멈추지 말고 발전하세요. 시리즈 사상 가장 완벽한 작품에서 새롭게 추가된 기능들로 승리를 향한 청사진을 설계하세요. 지금 사전 구매하고 10% 할인 및 사전 액세스 혜택을 받으세요*.,Sports Interactive,SEGA,steam
Football Manager 2024,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_7000_150_1,2023년 11월 07일,"전략,제2차 세계 대전,대전략,전쟁,역사",Hearts of Iron IV,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",Paradox Development Studio,Paradox Interactive,steam
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_7000_150_1,2024년 04월 10일,"개척 시뮬레이션,기지 건설,생존,전략,경영",RimWorld,"지능형 AI 이야기꾼이 주도하는 공상과학 정착지 시뮬레이터입니다. 심리, 생태, 총격전과 근접전, 날씨, 기후, 외교, 사람 사이의 관계, 예술, 의학, 무역, 그 외 많은 것들을 시뮬레이션하여 이야기를 생성합니다.",Ludeon Studios,Ludeon Studios,steam
RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_7000_150_1,2018년 10월 17일,"온라인 협동,공포,1인칭,협동,생존 공포",Lethal Company,A co-op horror about scavenging at abandoned moons to sell scrap to the Company.,Zeekerss,Zeekerss,steam
Lethal Company,https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_7000_150_1,2023년 10월 24일,"무료 플레이,액션 RPG,약탈 슈팅,3인칭 슈팅",Warframe,"이 스토리 중심의 부분 유료 온라인 액션 게임에서 그 누구도 멈출 수 없는 강력한 전사로 깨어나 동료들과 함께 싸움에 임하세요. 여러 행성에 걸쳐 뻗어나가는 성계 이곳저곳에서 전쟁을 벌이는 세력들과 맞서며, 신비로운 인물, 로터스의 안내에 따르며 워프레임을 레벨업하고, 파괴적인 화력을 가진 무기고를 쌓아올리고, 이 짜릿한, 전혀 새로운 장르의 3인칭 전투 경험 속의 거대한 오픈 월드에서 여러분의 진짜 잠재력을 불러일으키세요.",Digital Extremes,Digital Extremes,steam
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,2013년 03월 26일,"농장 시뮬레이션,픽셀 그래픽,생활 시뮬레이션",Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",ConcernedApe,ConcernedApe,steam
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_1,2016년 02월 27일,"어드벤처,3D 플랫폼,싱글 플레이어,3인칭",Ratchet & Clank: Rift Apart,"라쳇, 클랭크와 함께 여러 차원을 넘나들면서 박진감 넘치는 모험을 즐겨보세요. PC로 출시되었습니다! 하이퍼 스피드의 액션이 난무하는 갖가지 세상 너머로 뛰어들어 다른 현실에서 온 사악한 황제를 상대하세요!",Insomniac Games,PlayStation PC LLC,steam
Ratchet & Clank: Rift Apart,https://store.steampowered.com/app/1895880/Ratchet__Clank_Rift_Apart/?snr=1_7_7_7000_150_1,2023년 07월 26일,"전략,턴제 전략,대전략,실시간 전략,판타지",Total War: WARHAMMER III,Total War: WARHAMMER 3부작의 격렬한 결말이 도래했습니다. 병력을 결집하여 혼돈의 영역에 발들이십시오. 정신을 농락하는 이 공포의 공간에서 세상의 운명이 결정될 것입니다. 자신의 악마를 정복하시겠습니까… 아니면 뜻대로 부리시겠습니까?,CREATIVE ASSEMBLY,SEGA,steam
Total War: WARHAMMER III,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,2022년 02월 17일,"생활 시뮬레이션,캐릭터 커스터마이즈,건설,유머",The Sims™ 4,아무런 제약 없는 가상 세계에서 심들을 창조하고 지배하는 전능한 힘을 즐기세요. 강력한 권력을 휘두르며 자유롭고 재미있게 인생을 플레이하세요!,Maxis,Electronic Arts,steam
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_7000_150_1,2020년 06월 19일,"사이버펑크,오픈 월드,누드,RPG,공상과학",Cyberpunk 2077,"사이버펑크 2077은 권력과 돈, 끝없는 신체 개조에 집착하는 어두운 미래의 위험천만한 메갈로폴리스, '나이트 시티'를 배경으로 한 오픈 월드 액션 어드벤처 RPG입니다.",CD PROJEKT RED,CD PROJEKT RED,steam
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,2020년 12월 10일,"액션 RPG,핵 앤 슬래시,RPG,아이소메트릭","Diablo® IV,디아블로® IV","궁극의 액션 RPG 모험, 디아블로® IV에서 성역을 위한 전투에 참여하십시오. 높은 평가를 받은 캠페인과 신규 시즌 콘텐츠를 경험하십시오.","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",steam
디아블로® IV,https://store.steampowered.com/app/2344520/_IV/?snr=1_7_7_7000_150_1,2023년 10월 18일,"전략,4X,캐릭터 커스터마이즈,선택의 중요성",Age of Wonders 4,나만의 판타지 세계를 지배하라! 4X 전략과 턴제 전술 전투를 합친 Age of Wonders의 시스템과 함께 새 마법 세계를 탐험하세요. 턴을 진행하는 동안 제국을 확장하며 자신의 세력을 양성하고 변모시켜야 합니다!,Triumph Studios,Paradox Interactive,steam
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_7000_150_1,2023년 05월 03일,"멀티플레이어,온라인 협동,로컬 협동,협동",Overcooked! 2,혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다! 양파 왕국으로 돌아가는 여행을 떠나세요. 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요. 앞치마를 준비하세요... 다시 세상을 구할 때가 되었습니다!,Ghost Town Games Ltd.,Team17,steam
Overcooked! 2,https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_7000_150_1,2018년 08월 08일,"PvP,중세,MMO,액션,전략,MMORPG","Conqueror's Blade,컨커러스 블레이드",컨커러스 블레이드에서는 누구든지 위대한 장군이 될 수 있습니다. 부대를 이끌고 전 세계 장군님들과 함께 15 대 15공성전에 참여해 성과 영토를 정복하세요. 장군님의 명성을 지금 바로 전 세계에 알리세요!,Booming Tech,Poros Interactive,steam
컨커러스 블레이드,https://store.steampowered.com/app/835570/_/?snr=1_7_7_7000_150_1,2020년 04월 06일,"탐험,메트로배니아,퍼즐,퍼즐 플랫폼,플랫폼",ANIMAL WELL,"어두컴컴하고, 복잡하게 얽혀있는 미로를 탐험하며 미로 안의 숨겨진 비밀들을 밝혀내세요. 아이템을 수집해 주변 환경을 놀랍고 의미있는 방식으로 활용하세요. 어둠속에 숨어있는 위험으로부터 살아남기 위해 애쓰다보면, 귀엽지만, 마음의 동요를 불러일으키는 생물들도 만나게 됩니다. 눈 앞에 보이는것만 전부가 아닙니다.",Billy Basso,Bigmode,steam
